n	partition(n)	runtime
326	56156602112874289	2.959e-06
327	60105349839666544	3.083e-06
328	64325374609114550	3.041e-06
329	68834885946073850	2.792e-06
330	73653287861850339	2.834e-06
331	78801255302666615	3.041e-06
332	84300815636225119	2.959e-06
333	90175434980549623	3.25e-06
334	96450110192202760	3.042e-06
335	103151466321735325	2.792e-06
336	110307860425292772	2.959e-06
337	117949491546113972	2.833e-06
338	126108517833796355	2.792e-06
339	134819180623301520	3.084e-06
340	144117936527873832	3.125e-06
341	154043597379576030	3.167e-06
342	164637479165761044	3.375e-06
343	175943559810422753	3.083e-06
344	188008647052292980	3.167e-06
345	200882556287683159	3.208e-06
346	214618299743286299	3.209e-06
347	229272286871217150	3.125e-06
348	244904537455382406	3.125e-06
349	261578907351144125	3.167e-06
350	279363328483702152	3.125e-06
351	298330063062758076	2.916e-06
352	318555973788329084	3.25e-06
353	340122810048577428	3.25e-06
354	363117512048110005	3.25e-06
355	387632532919029223	3.167e-06
356	413766180933342362	3.125e-06
357	441622981929358437	3.208e-06
358	471314064268398780	3.209e-06
359	502957566506000020	3.25e-06
360	536679070310691121	3.125e-06
361	572612058898037559	3.084e-06
362	610898403751884101	3.208e-06
363	651688879997206959	3.042e-06
364	695143713458946040	3.125e-06
365	741433159884081684	3.125e-06
366	790738119649411319	2.917e-06
367	843250788562528427	2.916e-06
368	899175348396088349	2.916e-06
369	958728697912338045	2.958e-06
370	1022141228367345362	3.167e-06
371	1089657644424399782	3.042e-06
372	1161537834849962850	3.125e-06
373	1238057794119125085	3.166e-06
374	1319510599727473500	3.084e-06
375	1406207446561484054	3.083e-06
376	1498478743590581081	3e-06
377	1596675274490756791	3.084e-06
378	1701169427975813525	3.041e-06
379	1812356499739472950	3.125e-06
380	1930656072350465812	3.125e-06
381	2056513475336633805	2.958e-06
382	2190401332423765131	3.333e-06
383	2332821198543892336	3.125e-06
384	2484305294265418180	3.208e-06
385	2645418340688763701	3.083e-06
386	2816759503217942792	3.167e-06
387	2998964447736452194	3.125e-06
388	3192707518433532826	3e-06
389	3398704041358160275	3.042e-06
390	3617712763867604423	3.292e-06
391	3850538434667429186	3.041e-06
392	4098034535626594791	3.334e-06
393	4361106170762284114	3.291e-06
394	4640713124699623515	3.25e-06
395	4937873096788191655	3.209e-06
396	5253665124416975163	3.166e-06
397	5589233202595404488	3.209e-06
398	5945790114707874597	1.0667e-05
399	6324621482504294325	3.375e-06
400	6727090051741041926	3.125e-06
