n	partition(n)	runtime(n)	memory(n)
68	3087735	0.0002710819244384765625	271320
69	3554345	0.00026988983154296875	276552
70	4087968	0.0002820491790771484375	282592
71	4697205	0.0002830028533935546875	288632
72	5392783	0.000298976898193359375	294672
73	6185689	0.0003030300140380859375	300712
74	7089500	0.0003039836883544921875	306752
75	8118264	0.0003240108489990234375	312792
76	9289091	0.0003139972686767578125	318832
77	10619863	0.000319957733154296875	324832
78	12132164	0.000337123870849609375	330832
79	13848650	0.00034999847412109375	336832
80	15796476	0.000338077545166015625	342832
81	18004327	0.000342845916748046875	348832
82	20506255	0.0003650188446044921875	354832
83	23338469	0.000370025634765625	360832
84	26543660	0.0003831386566162109375	366832
85	30167357	0.000381946563720703125	372832
86	34262962	0.0004119873046875	378832
87	38887673	0.000479221343994140625	384832
88	44108109	0.0004761219024658203125	390832
89	49995925	0.000402927398681640625	396832
90	56634173	0.0004198551177978515625	402832
91	64112359	0.0004169940948486328125	408832
92	72533807	0.0004291534423828125	415640
93	82010177	0.0004279613494873046875	422448
94	92669720	0.0004308223724365234375	429256
95	104651419	0.000441074371337890625	436064
96	118114304	0.000443935394287109375	442872
97	133230930	0.00045299530029296875	449680
98	150198136	0.0004589557647705078125	456488
99	169229875	0.000476837158203125	463296
100	190569292	0.00047588348388671875	470064
101	214481126	0.0004899501800537109375	476832
102	241265379	0.0004789829254150390625	483600
103	271248950	0.0004889965057373046875	490368
104	304801365	0.0004918575286865234375	497136
105	342325709	0.0004999637603759765625	503904
106	384276336	0.001367092132568359375	510672
107	431149389	0.0005490779876708984375	517440
108	483502844	0.000524044036865234375	524208
109	541946240	0.0005409717559814453125	530976
110	607163746	0.0005509853363037109375	537744
111	679903203	0.00057506561279296875	544512
112	761002156	0.000566959381103515625	551280
113	851376628	0.0005810260772705078125	558048
114	952050665	0.000585079193115234375	564816
115	1064144451	0.0006129741668701171875	571584
116	1188908248	0.00059795379638671875	578352
117	1327710076	0.0007078647613525390625	585928
118	1482074143	0.0006759166717529296875	593504
119	1653668665	0.000836849212646484375	601080
120	1844349560	0.00063610076904296875	608656
121	2056148051	0.000648975372314453125	616232
122	2291320912	0.0006411075592041015625	623808
123	2552338241	0.00066280364990234375	631384
124	2841940500	0.0006601810455322265625	638960
125	3163127352	0.0006639957427978515625	646536
126	3519222692	0.0006859302520751953125	654072
127	3913864295	0.0006911754608154296875	661608
128	4351078600	0.0006940364837646484375	669144
129	4835271870	0.000690937042236328125	676680
130	5371315400	0.000687122344970703125	684216
131	5964539504	0.0008089542388916015625	691752
132	6620830889	0.0007460117340087890625	699288
133	7346629512	0.000749111175537109375	706824
134	8149040695	0.0007839202880859375	714360
135	9035836076	0.00080585479736328125	721896
136	10015581680	0.0008189678192138671875	729432
137	11097645016	0.0520870685577392578125	736968
138	12292341831	0.0013229846954345703125	744504
139	13610949895	0.000916004180908203125	752040
140	15065878135	0.0008449554443359375	759576
141	16670689208	0.000893115997314453125	767112
142	18440293320	0.0008862018585205078125	774648
143	20390982757	0.00086498260498046875	782184
144	22540654445	0.0011041164398193359375	789720
145	24908858009	0.001019001007080078125	798064
146	27517052599	0.0009000301361083984375	806408
147	30388671978	0.000876903533935546875	814752
148	33549419497	0.00092601776123046875	823096
149	37027355200	0.0008938312530517578125	831440
150	40853235313	0.00090694427490234375	839784
151	45060624582	0.000916004180908203125	848128
152	49686288421	0.00092792510986328125	856472
153	54770336324	0.0009720325469970703125	864816
154	60356673280	0.00096797943115234375	873160
155	66493182097	0.001018047332763671875	881464
156	73232243759	0.0010430812835693359375	889768
157	80630964769	0.001099109649658203125	898072
158	88751778802	0.0010349750518798828125	906376
159	97662728555	0.0009729862213134765625	914680
160	107438159466	0.0009739398956298828125	922984
161	118159068427	0.0010230541229248046875	931288
162	129913904637	0.0010139942169189453125	939592
