n	partition(n)	runtime
263	621837416509615	2.792e-06
264	670448123060170	2.708e-06
265	722760953690372	2.625e-06
266	779050629562167	2.542e-06
267	839611730366814	2.583e-06
268	904760108316360	2.917e-06
269	974834369944625	2.958e-06
270	1050197489931117	2.583e-06
271	1131238503938606	2.583e-06
272	1218374349844333	2.625e-06
273	1312051800816215	2.833e-06
274	1412749565173450	2.75e-06
275	1520980492851175	2.75e-06
276	1637293969337171	2.75e-06
277	1762278433057269	2.667e-06
278	1896564103591584	2.583e-06
279	2040825852575075	2.583e-06
280	2195786311682516	2.584e-06
281	2362219145337711	2.709e-06
282	2540952590045698	2.583e-06
283	2732873183547535	2.625e-06
284	2938929793929555	2.75e-06
285	3160137867148997	2.833e-06
286	3397584011986773	2.75e-06
287	3652430836071053	2.75e-06
288	3925922161489422	2.833e-06
289	4219388528587095	2.542e-06
290	4534253126900886	2.834e-06
291	4872038056472084	2.875e-06
292	5234371069753672	2.75e-06
293	5622992691950605	2.875e-06
294	6039763882095515	2.875e-06
295	6486674127079088	2.625e-06
296	6965850144195831	2.834e-06
297	7479565078510584	2.625e-06
298	8030248384943040	2.709e-06
299	8620496275465025	2.666e-06
300	9253082936723602	2.709e-06
301	9930972392403501	2.875e-06
302	10657331232548839	2.834e-06
303	11435542077822104	2.792e-06
304	12269218019229465	2.791e-06
305	13162217895057704	2.75e-06
306	14118662665280005	2.917e-06
307	15142952738857194	3.084e-06
308	16239786535829663	2.916e-06
309	17414180133147295	2.875e-06
310	18671488299600364	2.834e-06
311	20017426762576945	2.708e-06
312	21458096037352891	2.917e-06
313	23000006655487337	2.792e-06
314	24650106150830490	2.959e-06
315	26415807633566326	2.917e-06
316	28305020340996003	2.792e-06
317	30326181989842964	2.916e-06
318	32488293351466654	2.875e-06
319	34800954869440830	2.791e-06
320	37274405776748077	2.875e-06
321	39919565526999991	2.834e-06
322	42748078035954696	2.792e-06
323	45772358543578028	2.75e-06
324	49005643635237875	2.875e-06
325	52462044228828641	3.125e-06
326	56156602112874289	2.917e-06
327	60105349839666544	2.875e-06
328	64325374609114550	2.875e-06
329	68834885946073850	2.75e-06
330	73653287861850339	2.959e-06
331	78801255302666615	2.959e-06
332	84300815636225119	2.792e-06
333	90175434980549623	2.875e-06
334	96450110192202760	2.875e-06
335	103151466321735325	3.125e-06
336	110307860425292772	3.042e-06
337	117949491546113972	2.833e-06
338	126108517833796355	2.959e-06
339	134819180623301520	3.041e-06
340	144117936527873832	3.042e-06
341	154043597379576030	2.708e-06
342	164637479165761044	3.125e-06
343	175943559810422753	3.042e-06
344	188008647052292980	2.958e-06
345	200882556287683159	3.041e-06
346	214618299743286299	3.084e-06
347	229272286871217150	3.042e-06
348	244904537455382406	3.041e-06
349	261578907351144125	3.042e-06
350	279363328483702152	3.25e-06
351	298330063062758076	3e-06
352	318555973788329084	3.041e-06
353	340122810048577428	3.042e-06
354	363117512048110005	2.917e-06
355	387632532919029223	3e-06
356	413766180933342362	3e-06
357	441622981929358437	2.958e-06
358	471314064268398780	3e-06
359	502957566506000020	3.166e-06
360	536679070310691121	3e-06
361	572612058898037559	3.125e-06
362	610898403751884101	2.958e-06
363	651688879997206959	2.958e-06
364	695143713458946040	2.916e-06
365	741433159884081684	3.25e-06
366	790738119649411319	3.083e-06
367	843250788562528427	3.292e-06
368	899175348396088349	3.5e-06
369	958728697912338045	3.083e-06
370	1022141228367345362	3.167e-06
371	1089657644424399782	2.916e-06
372	1161537834849962850	2.959e-06
373	1238057794119125085	2.959e-06
374	1319510599727473500	2.875e-06
375	1406207446561484054	3.084e-06
376	1498478743590581081	3.125e-06
377	1596675274490756791	3.125e-06
378	1701169427975813525	3.167e-06
379	1812356499739472950	2.958e-06
380	1930656072350465812	2.959e-06
381	2056513475336633805	3.209e-06
382	2190401332423765131	3.042e-06
383	2332821198543892336	3e-06
384	2484305294265418180	3.084e-06
385	2645418340688763701	3e-06
386	2816759503217942792	3.125e-06
387	2998964447736452194	3.375e-06
388	3192707518433532826	3.25e-06
389	3398704041358160275	3.208e-06
390	3617712763867604423	3.25e-06
391	3850538434667429186	3.459e-06
392	4098034535626594791	3.375e-06
393	4361106170762284114	3.25e-06
394	4640713124699623515	3.334e-06
395	4937873096788191655	3.167e-06
396	5253665124416975163	3.333e-06
397	5589233202595404488	3.125e-06
398	5945790114707874597	1.0167e-05
399	6324621482504294325	3.25e-06
400	6727090051741041926	3.167e-06
