n	partition(n)	runtime
323	45772358543578028	0.000377708
324	49005643635237875	0.000377208
325	52462044228828641	0.000356875
326	56156602112874289	0.000342125
327	60105349839666544	0.000348417
328	64325374609114550	0.000346
329	68834885946073850	0.000348
330	73653287861850339	0.000353
331	78801255302666615	0.000352125
332	84300815636225119	0.00035425
333	90175434980549623	0.000356458
334	96450110192202760	0.000358583
335	103151466321735325	0.000360792
336	110307860425292772	0.000363042
337	117949491546113972	0.000365042
338	126108517833796355	0.000367292
339	134819180623301520	0.000369208
340	144117936527873832	0.000371417
341	154043597379576030	0.00037625
342	164637479165761044	0.000375666
343	175943559810422753	0.00037775
344	188008647052292980	0.000380125
345	200882556287683159	0.000382291
346	214618299743286299	0.000400834
347	229272286871217150	0.000353875
348	244904537455382406	0.00035575
349	261578907351144125	0.000357666
350	279363328483702152	0.000359875
351	298330063062758076	0.00036175
352	318555973788329084	0.000363792
353	340122810048577428	0.000365792
354	363117512048110005	0.000387541
355	387632532919029223	0.000386417
356	413766180933342362	0.000374875
357	441622981929358437	0.000388792
358	471314064268398780	0.000376208
359	502957566506000020	0.000380875
360	536679070310691121	0.00044525
361	572612058898037559	0.0004245
362	610898403751884101	0.000387167
363	651688879997206959	0.000386625
364	695143713458946040	0.000388584
365	741433159884081684	0.000390791
366	790738119649411319	0.000392792
367	843250788562528427	0.000392625
368	899175348396088349	0.00036575
369	958728697912338045	0.00036775
370	1022141228367345362	0.000374125
371	1089657644424399782	0.000385959
372	1161537834849962850	0.000376208
373	1238057794119125085	0.000375542
374	1319510599727473500	0.000377584
375	1406207446561484054	0.000379709
376	1498478743590581081	0.000381667
377	1596675274490756791	0.00038375
378	1701169427975813525	0.000388333
379	1812356499739472950	0.000390417
380	1930656072350465812	0.000389709
381	2056513475336633805	0.00039175
382	2190401332423765131	0.00039375
383	2332821198543892336	0.000398542
384	2484305294265418180	0.000398
385	2645418340688763701	0.000399875
386	2816759503217942792	0.000401875
387	2998964447736452194	0.000404167
388	3192707518433532826	0.000384875
389	3398704041358160275	0.000396458
390	3617712763867604423	0.000383708
391	3850538434667429186	0.000386042
392	4098034535626594791	0.000388375
393	4361106170762284114	0.000390583
394	4640713124699623515	0.000392208
395	4937873096788191655	0.00039375
396	5253665124416975163	0.000397416
397	5589233202595404488	0.0003975
398	5945790114707874597	0.000400833
399	6324621482504294325	0.000401583
400	6727090051741041926	0.000405875
401	7154640222653942321	0.000405209
402	7608802843339879269	0.000407333
403	8091200276484465581	0.000409209
404	8603551759348655060	0.000413958
405	9147679068859117602	0.000413042
406	9725512513742021729	0.000415167
407	10339097267123947241	0.00042
408	10990600063775926994	0.000419292
409	11682316277192317780	0.0004215
410	12416677403151190382	0.000426125
411	13196258966925435702	0.000425333
412	14023788883518847344	0.000423125
413	14902156290309948968	0.000399917
414	15834420884488187770	0.0003995
415	16823822787139235544	0.000402458
416	17873792969689876004	0.000404
